state,fipscode,county,population,hispanic,minority,female,unemployed,income,nodegree,bachelor,inactivity,obesity,density,cancer,votergap,trump,clinton
Indiana,18129,Posey County,26004,1.09,2.92,50.408,3.9,59975,7.3,21.3,26.1,29.1,393,195,39.187,67.424,28.237
Oklahoma,40153,Woodward County,19959,12.603,9.147,46.987,4.9,56067,13.9,18.8,31,38.6,6.9,195,72.072,83.573,11.501
Wisconsin,55139,Winnebago County,163370,4.058,7.302,49.641,4.3,52711,8.1,26.1,19.2,31.9,384.3,195,7.443,50.583,43.14
Maryland,24015,Cecil County,100796,4.22,11.062,50.307,6,62198,12.6,21.8,27.7,33.7,373.4,195.1,35.283,65.185,29.901
Nebraska,31179,Wayne County,9249,5.797,5.263,49.002,2.6,53290,6.8,36.4,21.4,29.6,51.9,195.1,49.385,71.524,22.139
Texas,48289,Leon County,16923,14.345,10.482,50.386,5.3,45159,16.1,17,29,29.5,26.4,195.1,74.011,86.283,12.272
West Virginia,54037,Jefferson County,52750,5.588,11.667,50.699,4.1,66950,11.9,28.3,24.8,33.2,255.2,195.1,15.354,54.751,39.397
California,6097,Sonoma County,472102,26.326,12.741,51.064,4.5,66949,13.2,32.6,13.8,20.9,307.1,195.2,-47.913,22.809,70.722
Minnesota,27137,St. Louis County,197767,1.543,7.489,49.702,5,49714,7,26.4,19.2,27.1,9.3,195.2,-11.808,40.114,51.923
Louisiana,22105,Tangipahoa Parish,118688,4.004,32.84,51.524,7.2,39927,19.9,19.3,33,39.1,276.4,195.3,32.577,64.781,32.204
Nebraska,31047,Dawson County,25076,32.998,8.511,49.108,3.2,47366,23.8,15.1,23.7,33.8,6.6,195.3,45.004,69.939,24.935
New Mexico,35017,Grant County,29903,49.904,6.627,50.697,6.6,38221,14.8,25.6,18.8,21.8,12.9,195.3,-7.669,41.304,48.973
New Mexico,35021,Harding County,663,44.126,4.155,46.991,8.6,40380,10.8,23.9,24,22.9,1.5,195.3,29.412,59.013,29.602
Tennessee,47005,Benton County,16025,2.158,5.084,50.667,7.8,34382,20.9,10,37.8,32.4,95.1,195.3,51.265,74.581,23.315
Louisiana,22115,Vernon Parish,46616,9.444,22.66,47.003,7.7,46682,12.8,18.7,26.9,36.6,49.4,195.4,64.967,80.99,16.022
Oregon,41051,Multnomah County,726855,11.292,19.827,50.527,5,53519,10,40.3,12.6,21.3,5.5,195.6,-58.335,17.625,75.959
Oregon,41055,Sherman County,1711,6.845,5.179,50.238,6.3,53277,7.5,18.5,17.8,27.1,101.8,195.6,53.306,73.856,20.549
Alabama,1049,DeKalb County,69380,14.133,7.583,50.69,6,36241,26.9,11.3,30.4,30.4,91.5,195.7,69.374,83.489,14.115
Texas,48205,Hartley County,4968,26.853,10.044,38.237,2.1,64182,20.4,21.4,23,27.3,72.9,195.7,79.949,88.792,8.843
Alabama,1051,Elmore County,79233,2.815,24.266,51.448,5.1,54298,12.8,21.4,29,35.4,128.2,195.8,51.979,74.838,22.859
Georgia,13175,Laurens County,48295,2.684,38.939,52.536,7.5,35807,19.2,14.5,31.1,36.2,60,195.8,29.124,63.765,34.641
Indiana,18181,White County,23452,7.961,3.17,50.327,4.1,50731,11.2,15.1,26.5,34.7,75.1,195.8,42.921,68.804,25.884
Kentucky,21095,Harlan County,30956,0.877,4.267,51.402,11.7,26351,29.5,11.1,39.5,36.5,169.3,195.8,72.111,84.866,12.754
Wisconsin,55049,Iowa County,23498,1.823,2.398,49.876,4.2,58419,7.6,23.2,20.8,31.8,31.1,195.8,-15.343,39.668,55.011
Georgia,13245,Richmond County,199768,4.782,60.759,51.525,7.3,36012,16.3,20.4,25.4,34.1,618.4,195.9,-32.375,32.609,64.984
Michigan,26063,Huron County,32236,2.286,2.315,50.409,5.1,41678,12.5,14.1,26.6,31.5,36.3,195.9,38.175,67.068,28.893
Missouri,29079,Grundy County,10047,2.1,3.466,52.758,4.1,37911,14.5,16.8,27.8,32.6,407.5,195.9,60.775,78.45,17.675
Wisconsin,55101,Racine County,200601,12.742,16.077,50.523,5.7,54782,12.1,23.4,21.4,32.9,587.7,195.9,4.392,49.766,45.375
Pennsylvania,42001,Adams County,102323,6.849,4.72,50.634,4.1,60179,13.4,21.2,22.9,31.4,138.6,196,36.429,66.293,29.863
Louisiana,22005,Ascension Parish,104822,5.209,26.42,50.564,5,67299,11.3,25.8,27.8,31.3,33.8,196.1,35.973,66.105,30.132
Michigan,26017,Bay County,107434,5.119,5.271,50.678,5.5,46061,11,18.6,25.5,35.4,107,196.1,12.631,53.516,40.885
Nebraska,31161,Sheridan County,5264,5.134,15.096,50.575,2.7,40351,11.2,24.1,29.4,30.2,29.3,196.1,74.308,85.458,11.15
Kansas,20191,Sumner County,23488,5.583,5.558,50.27,4.5,52476,8.3,18.4,29.5,31.1,7.9,196.3,50.611,72.088,21.477
Minnesota,27085,McLeod County,36939,5.605,2.875,50.345,3.9,60114,8.6,18.9,21.6,31.1,36.2,196.3,38.413,65.056,26.643
Louisiana,22097,St. Landry Parish,92326,2.105,43.451,51.804,7.9,32683,23.3,13.1,31.9,39.6,215.5,196.5,11.904,54.956,43.052
Connecticut,9011,New London County,266830,10.268,16.253,49.967,5.8,65813,9.1,31.5,20.7,27.6,412.2,196.6,-6.727,43.825,50.552
Montana,30097,Sweet Grass County,3667,2.146,3.165,50.055,2.8,45000,6.4,27.8,20.5,24.3,5.1,196.7,56.827,75.962,19.135
Florida,12113,Santa Rosa County,151759,5.388,13.033,48.751,4.8,58587,9.8,26.5,23.7,26.1,149.6,196.8,53.445,74.488,21.043
Tennessee,47149,Rutherford County,257048,7.45,20.884,50.67,4.6,53799,9.8,28.9,26.1,33,139.2,196.8,26.1,60.486,34.386
Kansas,20145,Pawnee County,6206,8.424,9.052,44.297,3.7,47351,11.9,22.4,22.7,30.3,8.5,197,50.154,71.945,21.791
North Carolina,37069,Franklin County,60088,8.055,30.046,50.29,5.9,48166,18.3,18.2,28.5,31.2,859.2,197,11.735,54.578,42.843
North Carolina,37101,Johnston County,168525,13.382,19.792,51.021,5.2,50055,16.1,20,26.1,35.5,82.1,197,30.666,63.962,33.296
Illinois,17111,McHenry County,320961,12.624,6.465,50.201,5.3,76856,7.8,32.2,20.9,27.7,55.3,197.1,8.056,50.745,42.689
Louisiana,22071,Orleans Parish,354850,5.608,64.539,52.349,6.5,35468,15.2,34.4,24.1,31.9,31.6,197.2,-66.155,14.652,80.808
Mississippi,28141,Tishomingo County,19034,2.787,4.342,51.759,6.4,35550,22.7,11.3,33,36.6,48.6,197.2,73.73,85.644,11.913
North Dakota,38025,Dunn County,3365,4.391,14.593,46.75,1.9,72018,8.7,19.3,29.8,33.5,1.6,197.2,63.529,79.718,16.189
Kentucky,21119,Knott County,17126,0.797,2.014,50.258,9.9,27709,31.1,12.8,36.6,40.2,996.7,197.3,54,75.603,21.603
Indiana,18001,Adams County,34256,4.503,1.978,50.475,3.8,50172,16.2,14.9,28.8,32.8,73.3,197.4,52.458,73.947,21.489
Washington,53023,Garfield County,2101,5.228,4.552,50.563,6.1,46404,3.1,21.9,27.5,33.1,3.2,197.4,45.86,68.263,22.403
Massachusetts,25011,Franklin County,71778,3.864,5.49,51.171,4.5,53953,8.1,34.4,17.1,21,1508.8,197.5,-36.965,27.186,64.151
Texas,48483,Wheeler County,4888,27.099,7.301,49.213,3.9,52548,18.5,16.9,28.7,27.8,38,197.5,82.09,90.503,8.413
Georgia,13307,Webster County,2192,4.003,43.995,49.962,8.9,33893,22.8,6,27.3,32.1,13.4,197.6,14.273,56.553,42.28
Pennsylvania,42091,Montgomery County,782339,4.857,19.44,51.382,4,79576,6.5,46.2,17.5,24.6,279.2,197.6,-21.114,37.616,58.73
Georgia,13297,Walton County,87311,4.063,20.686,51.378,5.3,52082,15.7,17.2,21.9,34.4,257.2,197.7,56.435,76.915,20.48
Missouri,29101,Johnson County,52657,4.148,10.86,48.598,5.4,49949,9,26,22,30.9,333.1,197.7,36.885,64.978,28.093
Vermont,50017,Orange County,28896,1.266,3.253,50.289,3.5,53025,8.4,31.6,20.9,26.6,53.3,197.7,-18.754,37.114,55.867
Georgia,13001,Appling County,18011,9.272,22.575,49.599,7.1,36642,24.4,12.9,26.4,34.8,36,198,57.947,78.424,20.477
Georgia,13079,Crawford County,12240,3.019,24.201,49.314,6.1,43111,20.9,11.1,31.9,27.3,38.9,198,42.913,70.429,27.516
Virginia,51023,Botetourt County,32551,1.646,5.785,50.661,4.2,63646,8.8,25.4,21.9,25.6,61.2,198,47.621,71.718,24.097
Mississippi,28023,Clarke County,17207,1.131,35.649,52.905,8,34910,22.8,12,34.2,34.8,19.7,198.1,32.828,65.967,33.139
Utah,49027,Millard County,12276,12.622,5.37,49.466,3.5,52623,11.9,19.2,23.7,31.3,1.8,198.1,65.554,73.786,8.233
Missouri,29137,Monroe County,8993,1.421,5.313,49.26,5.3,41376,10.7,14,30.3,30.8,37.6,198.2,55.606,76.176,20.569
New Mexico,35025,Lea County,60232,56.576,8.875,48.464,6.2,58994,28.6,12.6,29,33.8,1.4,198.2,48.306,70.526,22.219
Ohio,39135,Preble County,41422,0.748,2.787,50.444,4.8,49516,12.6,12.2,27.6,29.3,331.2,198.2,53.983,75.096,21.114
Georgia,13205,Mitchell County,23800,4.257,50.159,48.007,6.6,32711,26.8,11.1,29.4,33.6,45.9,198.3,9.927,54.372,44.444
Iowa,19015,Boone County,26072,2.541,3.325,49.506,2.9,54186,6.1,22.5,22,32.4,231.7,198.3,13.88,53.332,39.452
Indiana,18061,Harrison County,37562,1.933,2.613,49.813,4.5,56787,11.5,15.5,28.5,36,228.8,198.5,44.349,70.126,25.777
Montana,30107,Wheatland County,2044,2.133,4.597,50.19,5.4,35875,18.6,18.9,23.8,25.3,1.5,198.5,55.33,74.414,19.083
Pennsylvania,42043,Dauphin County,258934,8.609,26.378,51.55,4.5,52967,11.3,28.2,23.2,32.5,431.6,198.6,-2.817,46.573,49.391
Vermont,50003,Bennington County,36411,1.894,3.695,51.458,4.3,44674,9.4,32,20.4,24.1,48,198.6,-22.111,36.25,58.36
Iowa,19123,Mahaska County,22000,2.061,4.238,49.646,3.9,48584,9.2,22.4,24.8,31.9,27.9,198.7,45.721,70.555,24.833
Michigan,26059,Hillsdale County,45650,2.094,2.971,50.167,5.1,44780,12.7,15.6,26.7,32,74.7,198.7,46.756,70.895,24.14
Montana,30011,Carter County,1202,1.186,1.949,50.508,3.3,41466,8.2,16.4,24,25,4.9,198.7,78.021,87.018,8.997
Florida,12109,St. Johns County,187436,6.356,10.717,51.228,3.9,66560,6.2,41.4,18.5,21.9,316.4,198.8,33.43,64.984,31.554
Louisiana,22001,Acadia Parish,60095,2.341,20.603,51.525,6.7,40269,27.5,9.9,34.5,33.1,132.1,198.8,56.675,77.262,20.587
Nebraska,31063,Frontier County,2516,2.096,1.677,49.047,2.5,48543,5.7,16.9,23.3,35.5,5.6,198.8,72.137,84.427,12.29
Virginia,51075,Goochland County,21311,2.517,20.631,50.663,4.1,86610,10.4,38.3,21.6,28.4,77.2,198.8,25.054,60.115,35.061
Colorado,8073,Lincoln County,5169,13.586,9.645,40.975,3.4,41248,19.9,16.1,19.9,23.8,2.1,198.9,61.366,77.977,16.611
Florida,12077,Liberty County,7983,6.986,22.638,38.255,5.7,38473,25,13.1,29.6,39.6,10,198.9,57.39,77.147,19.757
Pennsylvania,42045,Delaware County,558028,3.688,29.355,51.97,4.7,62867,8.1,35.5,21.9,24,510.6,199,-21.981,37.411,59.393
Florida,12091,Okaloosa County,178473,8.646,18.503,49.177,4.5,55952,9,28.1,23.3,26.4,194.4,199.1,47.763,71.319,23.556
Oregon,41047,Marion County,317981,25.966,10.605,50.195,6.1,48554,16.4,21.7,15.6,34.1,3.2,199.1,4.994,49.038,44.044
Alabama,1109,Pike County,30461,2.215,41.709,52.034,6.7,31844,20,23.6,25.4,38.4,48.9,199.2,20.284,58.971,38.687
Virginia,51800,Suffolk city,83659,4.014,47.612,51.451,5,60735,12.9,26.1,24.5,31.9,211.4,199.2,-13.847,41.036,54.883
Pennsylvania,42111,Somerset County,76953,1.433,4.119,48.035,6.6,45706,13.6,14.9,28.2,37.7,120.8,199.3,55.919,76.538,20.619
Pennsylvania,42065,Jefferson County,44634,0.864,2.093,50.2,5.9,43810,11.2,14.3,29.1,31.5,107.5,199.5,59.813,78.341,18.527
Wisconsin,55019,Clark County,33426,4.43,2.569,49.499,4.4,45316,18.2,11.7,23.9,34.1,28.7,199.5,32.625,63.81,31.185
Florida,12043,Glades County,10950,21.704,21.01,43.716,7.1,38783,24,10.3,33.5,33.1,16,199.6,39.61,68.794,29.185
Massachusetts,25023,Plymouth County,498344,3.778,14.045,51.316,5.2,74576,7.9,34,22.9,27.8,1693.6,199.7,-7.233,43.428,50.66
Alabama,1115,St. Clair County,81895,2.342,12.225,50.1,5.2,50571,17.6,15.5,26.8,33,132.3,199.8,68.611,83.241,14.63
North Carolina,37081,Guilford County,480362,7.812,42.07,52.462,5.9,44828,11.8,33.7,22.4,30.7,80.3,199.8,-20.028,38.662,58.69
Texas,48487,Wilbarger County,13541,28.925,14.539,50.687,4.9,39377,20.2,17.6,25.9,28,209.5,199.8,57.523,77.201,19.678
Virginia,51069,Frederick County,74972,7.736,8.655,50.213,4,65485,13.6,28.2,20.8,31.7,189.4,199.8,35.255,64.957,29.701
Idaho,16077,Power County,7734,32.845,7.244,49.503,4.6,48048,20.1,12.5,22.9,32.1,55.6,199.9,35.062,60.406,25.344
Rhode Island,44009,Washington County,126925,3.078,6.308,51.717,5.5,70705,7.3,43.8,17,23.9,1530.3,199.9,-10.019,42.14,52.159
Arkansas,5019,Clark County,23835,4.432,26.735,52.127,5.7,38504,14.6,22.3,30.9,34.3,26.6,200,9.312,51.711,42.399
New York,36025,Delaware County,45514,3.863,4.777,49.656,6,45860,12.5,20.5,22.3,27.9,98.9,200,29.177,61.942,32.765
Iowa,19193,Woodbury County,102831,15.713,11.552,50.412,3.7,45641,14.6,21.3,26.8,34.3,30.5,200.1,19.857,57.361,37.505
North Carolina,37071,Gaston County,208958,6.595,20.319,51.53,6,42056,18.2,18.5,29.5,33.3,123.3,200.1,32.133,64.789,32.657
Texas,48239,Jackson County,14274,31.932,10.273,50.412,3.8,52185,18.5,16.5,27.7,32.2,9.9,200.1,63.735,80.872,17.137
Tennessee,47095,Lake County,7303,2.099,30.9,36.035,8.8,28524,28.5,8.2,31.7,37.5,850.5,200.2,39.594,68.883,29.289
Wisconsin,55117,Sheboygan County,114560,6.161,9.394,49.779,3.8,55335,9.3,22.5,20.1,29.4,225.9,200.2,16.696,55.529,38.833
Idaho,16049,Idaho County,15461,3.509,5.881,47.738,6.1,39551,10.2,16.8,21.5,25.7,21.2,200.3,63.785,78.329,14.545
Iowa,19023,Butler County,14341,1.187,2.052,50.372,4.3,52273,8.5,15.5,25.9,33.8,35.2,200.3,36.945,65.951,29.006
Kansas,20139,Osage County,16104,2.903,3.793,50.091,5,52749,9.4,20.7,27.3,37.1,6.5,200.3,43.27,68.364,25.094
Kentucky,21083,Graves County,37719,5.965,7.498,51.068,6.3,39247,19.1,16.7,27.2,30.1,95.6,200.4,56.431,76.368,19.937
Georgia,13161,Jeff Davis County,13659,11.629,18.197,50.865,6.4,35235,21,9,27.9,30,45.6,200.5,62.9,80.605,17.705
Mississippi,28145,Union County,27263,4.492,17.887,51.106,5.2,37667,23,14.9,31.9,33.2,23.7,200.5,63.232,80.543,17.311
Texas,48403,Sabine County,10208,4.543,10.311,50.521,9.4,35701,16.3,12.2,27.4,27.8,57.7,200.5,72.77,85.997,13.227
Iowa,19049,Dallas County,61950,6.187,7.811,51.04,2.8,79173,5.6,43.7,23,29.8,23.9,200.6,9.639,51.275,41.635
Nebraska,31121,Merrick County,7666,4.264,3.532,49.955,3.7,50893,8.7,16,27,32.6,60.9,200.6,62.395,78.608,16.213
Pennsylvania,42013,Blair County,126122,1.197,4.21,51.167,5,43343,9.7,18.6,27.2,33.1,480.4,200.6,46.38,71.545,25.165
Tennessee,47129,Morgan County,18738,1.242,5.708,45.381,7.6,36390,19.8,7.3,32.4,30.3,49.2,200.6,65.666,81.468,15.801
Idaho,16009,Benewah County,9258,3.392,13.555,49.414,6.6,46277,14,13.3,24.5,30.1,6.1,200.8,55.367,73.974,18.607
Pennsylvania,42073,Lawrence County,90160,1.291,6.66,51.618,6.1,44903,11.2,19.4,22.8,34.3,550.4,200.8,28.085,62.441,34.356
Tennessee,47115,Marion County,28068,1.646,6.607,51.013,6.9,40766,23.2,15.3,32.8,32.9,176.4,200.8,44.784,70.901,26.117
Virginia,51735,Poquoson city,11794,2.521,5.921,50.51,3.8,84213,7.3,35.8,21.7,24.7,793.3,200.8,49.058,71.535,22.477
New Hampshire,33011,Hillsborough County,405906,6.247,8.811,50.328,3.6,71233,9.1,35.5,19.7,28.5,52.2,200.9,0.249,47.461,47.212
Texas,48247,Jim Hogg County,4997,91.615,2.923,49.962,7.2,36929,24.4,13,22.3,27.3,287.9,200.9,-56.866,20.293,77.159
New Mexico,35049,Santa Fe County,147532,51.198,9.137,51.379,5.4,52628,12.4,39.9,10.5,13.7,6.2,201,-50.81,20.174,70.984
Texas,48147,Fannin County,32999,10.646,11.079,47.007,4.2,43211,18.1,15.6,27.4,28.4,23.3,201,61.919,79.653,17.733
Wisconsin,55017,Chippewa County,60609,1.621,4.821,48.202,4.8,52485,8.6,19.2,21.4,30.2,61.9,201,19.183,56.916,37.733
New York,36093,Schenectady County,152169,6.723,20.43,51.326,4.8,56508,9.7,29.8,20.4,26.1,271.1,201.1,-5.845,44.245,50.09
Oklahoma,40007,Beaver County,5270,22.425,5.804,49.88,2.7,56664,17.3,17.9,30.1,38.9,14.5,201.1,80.957,88.824,7.868
Indiana,18029,Dearborn County,50502,1.205,2.596,50.116,5.1,59280,10.4,18.2,27.2,32.5,73.7,201.2,55.32,75.742,20.422
New Jersey,34027,Morris County,488518,13.037,16.175,50.974,4.2,100511,6.4,50.6,18.5,21,1344.7,201.2,4.396,50.383,45.987
North Carolina,37107,Lenoir County,56387,7.82,43.877,52.11,6.4,35991,19.2,13.9,30.6,37.2,227,201.2,6.282,52.369,46.086
Virginia,51147,Prince Edward County,22370,2.492,35.81,50.723,6.5,37543,20.9,22.4,23.4,32.1,66.8,201.2,-5.388,44.98,50.368
New Mexico,35059,Union County,3817,41.8,7.784,43.418,4.4,36684,19.7,19,22.5,27,4.9,201.3,52.799,71.538,18.739
North Dakota,38067,Pembina County,7392,4.146,4.456,48.258,5.3,56298,11.3,18.8,26.3,32.1,2.6,201.3,49.24,71.258,22.017
Kentucky,21165,Menifee County,6593,0.959,4.325,49.56,8.7,30828,28.6,11.9,28.5,33.3,93.6,201.4,47.122,72.302,25.18
Tennessee,47009,Blount County,122784,3.104,6.054,51.451,5.3,47175,12.7,21.7,31.8,34,31.7,201.5,48.796,72.104,23.308
Missouri,29097,Jasper County,118179,7.891,8.998,51.151,4.2,40047,14.7,21,28.6,34.5,1115.3,201.6,50.838,72.766,21.929
Missouri,29153,Ozark County,9315,1.807,3.157,49.453,7.9,31025,17.1,13.6,32.6,33.4,23,201.7,64.763,80.849,16.085
Texas,48017,Bailey County,6273,63.384,6.463,49.417,4.3,36821,35.3,10.2,25.9,26.7,44,201.7,53.027,75.28,22.253
Vermont,50013,Grand Isle County,7560,1.924,5.568,50.517,4.1,60081,7,32.4,18.2,26.8,75.3,201.7,-16.067,39.359,55.426
Georgia,13213,Murray County,40621,14.528,4.403,50.33,7.4,40976,31.2,8.6,30,32.5,115,201.8,68.757,83.239,14.482
Indiana,18115,Ohio County,5909,1.128,2.156,49.764,5.4,51403,14.2,12.8,29,30.4,115.7,201.8,49.092,72.609,23.517
Rhode Island,44001,Bristol County,49542,2.742,4.945,51.799,5.1,68246,9.7,43.5,19.9,22.9,481.1,201.8,-22.738,36.036,58.775
Indiana,18131,Pulaski County,13614,3.018,2.778,49.29,4.5,43770,15.2,12,29,31.5,63.3,201.9,46.478,70.885,24.407
Texas,48075,Childress County,7548,29.106,13.445,40.844,3.2,39025,10,20,25.9,27,48.3,202,74.328,86.468,12.14
New Hampshire,33007,Coos County,31487,1.631,3.178,48.988,4.7,42491,13.4,17.8,26.4,30.5,109.1,202.1,9.119,52.052,42.933
Alabama,1023,Choctaw County,13990,0.759,43.098,52.528,9.1,35049,25.9,12.8,30,40.8,15.2,202.2,13.663,56.439,42.777
New York,36123,Yates County,24482,2.208,2.815,51.278,5,48368,13.7,24.3,26.8,26.6,71.1,202.2,21.85,57.716,35.866
South Carolina,45085,Sumter County,104495,4.019,51.048,51.751,6.9,37906,18.6,18.9,27.8,34.4,351.9,202.3,-12.012,42.529,54.541
North Carolina,37057,Davidson County,158582,6.885,13.368,50.968,5.5,43346,18.9,17.9,28.3,31.4,88.5,202.4,49.355,73.417,24.062
Florida,12027,DeSoto County,35297,31,16.259,43.604,6,36945,29.4,9.9,30.4,36,54.7,202.5,27.72,62.671,34.95
Georgia,13023,Bleckley County,12855,2.891,26.619,51.85,9.1,40454,18.3,15.2,29.3,30.4,60.5,202.5,53.162,75.334,22.173
New Jersey,34013,Essex County,769644,22.427,50.419,51.923,6.7,54603,16.2,32.3,25.6,28.7,324.4,202.5,-56.36,20.7,77.06
Missouri,29001,Adair County,25135,2.451,6.829,51.852,5.6,35425,12.6,28.6,24.3,29,30.4,202.6,24.899,59.377,34.478
New York,36055,Monroe County,733703,8.339,22.912,51.691,5.2,51371,10.1,35.9,20.2,27.7,112.2,202.7,-14.115,40.252,54.367
North Dakota,38061,Mountrail County,6791,7.347,31.565,44.758,1.9,66807,9.6,18.6,29.7,35.9,14.3,202.7,33.425,63.632,30.207
California,6023,Humboldt County,129623,11.127,16.41,50.078,5.6,40581,9.7,27.5,14.7,25.5,37.7,202.8,-25.904,32.355,58.259
Mississippi,28061,Jasper County,17940,1.231,53.685,51.162,7.9,35019,22,13.3,38.2,37.9,193.2,202.8,-3.956,47.615,51.571
Kentucky,21001,Adair County,18029,1.929,4.972,50.502,7.6,31558,26,15.6,33.5,34.3,1039,203,64.561,80.634,16.073
New Mexico,35055,Taos County,31507,56.101,12.079,51.223,9.3,36125,13.4,28.9,16.7,17.4,2.7,203,-51.937,17.917,69.854
Texas,48315,Marion County,10306,4.232,26.112,51.378,6.5,34452,16.1,14.5,28.8,31.3,29.3,203,43.081,70.566,27.485
Arkansas,5125,Saline County,99449,4.28,10.229,50.965,4.2,55915,11.2,23,30.7,32.5,148,203.1,42.993,68.188,25.195
South Carolina,45087,Union County,27362,1.325,33.949,52.615,7.8,37501,20.8,13.6,31.7,36.9,161.6,203.1,19.285,58.393,39.108
South Dakota,46059,Hand County,3238,1.434,1.822,49.492,2.4,51201,11,20.2,25.9,29.9,11.6,203.2,58.141,76.513,18.372
Michigan,26109,Menominee County,23969,1.784,5.431,49.461,5.1,42191,9.3,15.5,25.6,34.4,77.1,203.3,29.401,62.276,32.875
New York,36057,Montgomery County,48616,13.074,6.456,50.659,6.7,40923,17.1,16.3,22.5,26,1132.6,203.3,26.482,60.666,34.184
Washington,53007,Chelan County,72372,27.733,6.326,50.102,5.5,49174,16,24,17.3,26.7,24.8,203.3,14.992,54.929,39.937
Florida,12003,Baker County,26336,2.549,16.411,47.681,5.4,47121,19.6,10.9,35.7,35.8,46.3,203.4,64.762,81.479,16.717
Mississippi,28101,Newton County,22568,1.761,37.04,52.232,6.2,35185,16.6,15.8,35.8,34.8,52.1,203.4,39.33,68.99,29.66
Nevada,32013,Humboldt County,18260,26.324,10.477,47.87,5.9,67423,16.5,12.4,20.9,25.7,0.5,203.4,48.733,70.278,21.545
New Mexico,35035,Otero County,63201,37.44,16.348,48.673,6.2,41736,15.5,17.2,20.6,25.1,2.5,203.5,28.917,59.401,30.484
New York,36053,Madison County,69954,2.134,5.109,50.857,5.7,51600,9.6,27.2,25.1,26.1,103.5,203.5,15.892,54.399,38.508
South Dakota,46129,Walworth County,5228,1.709,17.637,50.928,5.5,41831,12.3,22.5,28.1,28.4,31.3,203.5,58.094,76.544,18.45
Virginia,51650,Hampton city,144236,5.506,56.827,51.776,6,47615,10.6,23.3,23.5,34.8,2673.2,203.5,-37.776,28.952,66.727
Colorado,8011,Bent County,6560,31.492,14.048,34.648,3.9,35424,21.6,7.5,22.5,26.5,4.3,203.7,30.92,61.628,30.708
Texas,48045,Briscoe County,1428,28.306,5.98,50.1,3.8,42139,23.4,20.7,23.5,26.4,1.5,203.7,72.752,85.15,12.398
Louisiana,22101,St. Mary Parish,50815,6.847,38.47,50.449,7.5,42075,26.3,11.1,33.4,38,70.7,203.8,27.559,62.756,35.197
Maryland,24017,Charles County,142226,5.474,53.006,51.815,5.1,86703,8.4,26.8,21.1,36,292,203.8,-30.215,33.337,63.553
Michigan,26047,Emmet County,33649,1.683,7.349,50.611,6.9,50191,5.8,33.3,17.7,29.8,187.4,203.8,19.41,56.546,37.136
New Jersey,34009,Cape May County,96091,7.55,8.517,51.078,10.9,55409,10.9,29.2,21.8,27.9,2321.5,203.8,19.868,58.371,38.503
New York,36003,Allegany County,49157,1.612,4.46,49.334,5.8,42655,11.9,19.1,20.2,29.6,581.9,203.8,42.306,68.447,26.141
Minnesota,27087,Mahnomen County,5025,3.573,52.208,49.569,5.4,39926,16,13,28.4,32.6,74.6,203.9,2.941,47.782,44.841
New York,36035,Fulton County,55053,2.91,4.578,50.263,6.6,45409,14.2,15.7,25.1,30.1,31.7,203.9,35.547,65.22,29.673
Ohio,39171,Williams County,37816,4.324,3.176,50.342,4.4,42214,11,13.7,31.4,35.9,206.4,203.9,43.801,69.111,25.31
Alabama,1031,Coffee County,48635,6.694,23.944,50.366,5.9,46931,16.9,23.2,28.7,33.7,73.6,204,56.701,77.146,20.446
Mississippi,28089,Madison County,93097,2.809,42.02,52.164,4.6,66671,10.1,46.3,27.2,28.6,118.3,204,16.092,56.844,40.752
Nebraska,31083,Harlan County,3234,2.52,1.68,48.783,2.2,46744,9.3,14.5,26.7,32.1,16.8,204,68.458,82.301,13.843
Louisiana,22075,Plaquemines Parish,20942,6.708,29.428,49.742,5.5,51304,20.3,15.4,28,33.5,251.8,204.1,33.608,65.267,31.659
North Dakota,38093,Stutsman County,20463,2.265,5.487,48.898,2.5,53333,12.7,22.3,24.3,33,2.8,204.1,42.483,67.478,24.995
Texas,48235,Irion County,1741,26.448,4.698,48.069,3.7,63054,13.6,13.1,23.6,27.9,25,204.1,75,86.842,11.842
Texas,48439,Tarrant County,1789900,28.182,25.267,51.074,4.2,58127,15.3,29.7,24,29.1,8.8,204.1,8.702,52.152,43.45
Wisconsin,55121,Trempealeau County,27754,7.374,3.052,49.408,4,50266,12.6,18.1,19.8,29.6,39.3,204.1,12.702,54.267,41.565
Kansas,20039,Decatur County,2855,2.183,3.138,49.386,3.8,41434,10.1,23.3,27.8,36.1,66.4,204.2,71.37,83.562,12.192
Colorado,8101,Pueblo County,157224,42.728,9.383,50.642,5.7,41382,12.2,21.4,20.9,25.9,66.7,204.4,-0.331,46.157,46.488
Missouri,29033,Carroll County,9535,1.346,4.226,51.168,5.9,39017,13.1,17,29.4,35.4,130.8,204.4,62.715,79.798,17.083
South Carolina,45083,Spartanburg County,286822,6.529,25.658,51.477,5.7,44050,17.3,21.9,25.6,30.5,43.9,204.4,29.979,63.001,33.022
Connecticut,9009,New Haven County,848006,17.25,21.512,51.77,6.1,60387,11.1,33.4,21.2,26.5,1426.7,204.5,-12.032,42.131,54.162
New Jersey,34007,Camden County,517879,16.001,30.24,51.701,6.3,61685,12.4,29.7,25.8,30.2,561.9,204.5,-32.37,32.218,64.588
Texas,48255,Karnes County,15029,52.748,11.065,41.676,4.3,43986,27.9,12.4,25.3,29.2,21.8,204.5,43.369,70.705,27.336
