title,year,recipients,num_recipients,motivation
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1988,['Maurice Allais'],1,“for his pioneering contributions to the theory of markets and efficient utilization of resources”
The Nobel Prize in Physics,1987,"['J. Georg Bednorz', 'K. Alexander Müller']",2,“for their important break-through in the discovery of superconductivity in ceramic materials”
The Nobel Prize in Chemistry,1987,"['Donald J. Cram', 'Jean-Marie Lehn', 'Charles J. Pedersen']",3,“for their development and use of molecules with structure-specific interactions of high selectivity”
The Nobel Prize in Physiology or Medicine,1987,['Susumu Tonegawa'],1,“for his discovery of the genetic principle for generation of antibody diversity”
The Nobel Prize in Literature,1987,['Joseph Brodsky'],1,"“for an all-embracing authorship, imbued with clarity of thought and poetic intensity”"
The Nobel Peace Prize,1987,['Oscar Arias Sánchez'],1,"“for his work for peace in Central America, efforts which led to the accord signed in Guatemala on August 7 this year”"
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1987,['Robert M. Solow'],1,“for his contributions to the theory of economic growth”
The Nobel Prize in Physics,1986,"['Ernst Ruska', 'Gerd Binnig', 'Heinrich Rohrer']",3,"“for his fundamental work in electron optics, and for the design of the first electron microscope”"
The Nobel Prize in Chemistry,1986,"['Dudley R. Herschbach', 'Yuan T. Lee', 'John C. Polanyi']",3,“for their contributions concerning the dynamics of chemical elementary processes”
The Nobel Prize in Physiology or Medicine,1986,"['Stanley Cohen', 'Rita Levi-Montalcini']",2,“for their discoveries of growth factors”
The Nobel Prize in Literature,1986,['Wole Soyinka'],1,“who in a wide cultural perspective and with poetic overtones fashions the drama of existence”
The Nobel Peace Prize,1986,['Elie Wiesel'],1,
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1986,['James M. Buchanan Jr.'],1,“for his development of the contractual and constitutional bases for the theory of economic and political decision-making”
The Nobel Prize in Physics,1985,['Klaus von Klitzing'],1,“for the discovery of the quantized Hall effect”
The Nobel Prize in Chemistry,1985,"['Herbert A. Hauptman', 'Jerome Karle']",2,“for their outstanding achievements in the development of direct methods for the determination of crystal structures”
The Nobel Prize in Physiology or Medicine,1985,"['Michael S. Brown', 'Joseph L. Goldstein']",2,“for their discoveries concerning the regulation of cholesterol metabolism”
The Nobel Prize in Literature,1985,['Claude Simon'],1,“who in his novel combines the poet’s and the painter’s creativeness with a deepened awareness of time in the depiction of the human condition”
The Nobel Peace Prize,1985,['International Physicians for the Prevention of Nuclear War '],1,
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1985,['Franco Modigliani'],1,“for his pioneering analyses of saving and of financial markets”
The Nobel Prize in Physics,1984,"['Carlo Rubbia', 'Simon van der Meer']",2,"“for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction”"
The Nobel Prize in Chemistry,1984,['Robert Bruce Merrifield'],1,“for his development of methodology for chemical synthesis on a solid matrix”
The Nobel Prize in Physiology or Medicine,1984,"['Niels K. Jerne', 'Georges J.F. Köhler', 'César Milstein']",3,“for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies”
The Nobel Prize in Literature,1984,['Jaroslav Seifert'],1,"“for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man”"
The Nobel Peace Prize,1984,['Desmond Mpilo Tutu'],1,
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1984,['Richard Stone'],1,“for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis”
The Nobel Prize in Physics,1983,"['Subramanyan Chandrasekhar', 'William Alfred Fowler']",2,“for his theoretical studies of the physical processes of importance to the structure and evolution of the stars”
The Nobel Prize in Chemistry,1983,['Henry Taube'],1,"“for his work on the mechanisms of electron transfer reactions, especially in metal complexes”"
The Nobel Prize in Physiology or Medicine,1983,['Barbara McClintock'],1,“for her discovery of mobile genetic elements”
The Nobel Prize in Literature,1983,['William Golding'],1,"“for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today”"
The Nobel Peace Prize,1983,['Lech Walesa'],1,
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1983,['Gerard Debreu'],1,“for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium”
The Nobel Prize in Physics,1982,['Kenneth G. Wilson'],1,“for his theory for critical phenomena in connection with phase transitions”
The Nobel Prize in Chemistry,1982,['Aaron Klug'],1,“for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes”
The Nobel Prize in Physiology or Medicine,1982,"['Sune K. Bergström', 'Bengt I. Samuelsson', 'John R. Vane']",3,“for their discoveries concerning prostaglandins and related biologically active substances”
The Nobel Prize in Literature,1982,['Gabriel García Márquez'],1,"“for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent’s life and conflicts”"
The Nobel Peace Prize,1982,"['Alva Myrdal', 'Alfonso García Robles']",2,
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1982,['George J. Stigler'],1,"“for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation”"
The Nobel Prize in Physics,1981,"['Nicolaas Bloembergen', 'Arthur Leonard Schawlow', 'Kai M. Siegbahn']",3,“for their contribution to the development of laser spectroscopy”
The Nobel Prize in Chemistry,1981,"['Kenichi Fukui', 'Roald Hoffmann']",2,"“for their theories, developed independently, concerning the course of chemical reactions”"
The Nobel Prize in Physiology or Medicine,1981,"['Roger W. Sperry', 'David H. Hubel', 'Torsten N. Wiesel']",3,“for his discoveries concerning the functional specialization of the cerebral hemispheres”
The Nobel Prize in Literature,1981,['Elias Canetti'],1,"“for writings marked by a broad outlook, a wealth of ideas and artistic power”"
The Nobel Peace Prize,1981,['Office of the United Nations High Commissioner for Refugees (UNHCR) '],1,
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1981,['James Tobin'],1,"“for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices”"
The Nobel Prize in Physics,1980,"['James Watson Cronin', 'Val Logsdon Fitch']",2,“for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons”
The Nobel Prize in Chemistry,1980,"['Paul Berg', 'Walter Gilbert', 'Frederick Sanger']",3,"“for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA”"
The Nobel Prize in Physiology or Medicine,1980,"['Baruj Benacerraf', 'Jean Dausset', 'George D. Snell']",3,“for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions”
The Nobel Prize in Literature,1980,['Czeslaw Milosz'],1,“who with uncompromising clear-sightedness voices man’s exposed condition in a world of severe conflicts”
The Nobel Peace Prize,1980,['Adolfo Pérez Esquivel'],1,
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1980,['Lawrence R. Klein'],1,“for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies”
The Nobel Prize in Physics,1979,"['Sheldon Lee Glashow', 'Abdus Salam', 'Steven Weinberg']",3,"“for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current”"
The Nobel Prize in Chemistry,1979,"['Herbert C. Brown', 'Georg Wittig']",2,"“for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis”"
The Nobel Prize in Physiology or Medicine,1979,"['Allan M. Cormack', 'Godfrey N. Hounsfield']",2,“for the development of computer assisted tomography”
The Nobel Prize in Literature,1979,['Odysseus Elytis'],1,"“for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man’s struggle for freedom and creativeness”"
The Nobel Peace Prize,1979,['Mother Teresa '],1,
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1979,"['Theodore W. Schultz', 'Sir Arthur Lewis']",2,“for their pioneering research into economic development research with particular consideration of the problems of developing countries”
The Nobel Prize in Physics,1978,"['Pyotr Leonidovich Kapitsa', 'Arno Allan Penzias', 'Robert Woodrow Wilson']",3,“for his basic inventions and discoveries in the area of low-temperature physics”
The Nobel Prize in Chemistry,1978,['Peter D. Mitchell'],1,“for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory”
The Nobel Prize in Physiology or Medicine,1978,"['Werner Arber', 'Daniel Nathans', 'Hamilton O. Smith']",3,“for the discovery of restriction enzymes and their application to problems of molecular genetics”
The Nobel Prize in Literature,1978,['Isaac Bashevis Singer'],1,"“for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life”"
The Nobel Peace Prize,1978,"['Mohamed Anwar al-Sadat', 'Menachem Begin']",2,
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1978,['Herbert A. Simon'],1,“for his pioneering research into the decision-making process within economic organizations”
The Nobel Prize in Physics,1977,"['Philip Warren Anderson', 'Sir Nevill Francis Mott', 'John Hasbrouck van Vleck']",3,“for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems”
The Nobel Prize in Chemistry,1977,['Ilya Prigogine'],1,"“for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures”"
The Nobel Prize in Physiology or Medicine,1977,"['Roger Guillemin', 'Andrew V. Schally', 'Rosalyn Yalow']",3,“for their discoveries concerning the peptide hormone production of the brain”
The Nobel Prize in Literature,1977,['Vicente Aleixandre'],1,"“for a creative poetic writing which illuminates man’s condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars”"
The Nobel Peace Prize,1977,['Amnesty International '],1,
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1977,"['Bertil Ohlin', 'James E. Meade']",2,“for their pathbreaking contribution to the theory of international trade and international capital movements”
The Nobel Prize in Physics,1976,"['Burton Richter', 'Samuel Chao Chung Ting']",2,“for their pioneering work in the discovery of a heavy elementary particle of a new kind”
The Nobel Prize in Chemistry,1976,['William N. Lipscomb'],1,“for his studies on the structure of boranes illuminating problems of chemical bonding”
The Nobel Prize in Physiology or Medicine,1976,"['Baruch S. Blumberg', 'D. Carleton Gajdusek']",2,“for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases”
The Nobel Prize in Literature,1976,['Saul Bellow'],1,“for the human understanding and subtle analysis of contemporary culture that are combined in his work”
The Nobel Peace Prize,1976,"['Betty Williams', 'Mairead Corrigan']",2,
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1976,['Milton Friedman'],1,"“for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy”"
The Nobel Prize in Physics,1975,"['Aage Niels Bohr', 'Ben Roy Mottelson', 'Leo James Rainwater']",3,“for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection”
The Nobel Prize in Chemistry,1975,"['John Warcup Cornforth', 'Vladimir Prelog']",2,“for his work on the stereochemistry of enzyme-catalyzed reactions”
The Nobel Prize in Physiology or Medicine,1975,"['David Baltimore', 'Renato Dulbecco', 'Howard Martin Temin']",3,“for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell”
The Nobel Prize in Literature,1975,['Eugenio Montale'],1,"“for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions”"
The Nobel Peace Prize,1975,['Andrei Dmitrievich Sakharov'],1,
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1975,"['Leonid Vitaliyevich Kantorovich', 'Tjalling C. Koopmans']",2,“for their contributions to the theory of optimum allocation of resources”
The Nobel Prize in Physics,1974,"['Sir Martin Ryle', 'Antony Hewish']",2,"“for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars”"
The Nobel Prize in Chemistry,1974,['Paul J. Flory'],1,"“for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules”"
The Nobel Prize in Physiology or Medicine,1974,"['Albert Claude', 'Christian de Duve', 'George E. Palade']",3,“for their discoveries concerning the structural and functional organization of the cell”
The Nobel Prize in Literature,1974,"['Eyvind Johnson', 'Harry Martinson']",2,"“for a narrative art, far-seeing in lands and ages, in the service of freedom”"
The Nobel Peace Prize,1974,"['Seán MacBride', 'Eisaku Sato']",2,
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1974,"['Gunnar Myrdal', 'Friedrich August von Hayek']",2,"“for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena”"
The Nobel Prize in Physics,1973,"['Leo Esaki', 'Ivar Giaever', 'Brian David Josephson']",3,"“for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively”"
The Nobel Prize in Chemistry,1973,"['Ernst Otto Fischer', 'Geoffrey Wilkinson']",2,"“for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds”"
The Nobel Prize in Physiology or Medicine,1973,"['Karl von Frisch', 'Konrad Lorenz', 'Nikolaas Tinbergen']",3,“for their discoveries concerning organization and elicitation of individual and social behaviour patterns”
The Nobel Prize in Literature,1973,['Patrick White'],1,“for an epic and psychological narrative art which has introduced a new continent into literature”
The Nobel Peace Prize,1973,"['Henry A. Kissinger', 'Le Duc Tho ']",2,
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1973,['Wassily Leontief'],1,“for the development of the input-output method and for its application to important economic problems”
The Nobel Prize in Physics,1972,"['John Bardeen', 'Leon Neil Cooper', 'John Robert Schrieffer']",3,"“for their jointly developed theory of superconductivity, usually called the BCS-theory”"
The Nobel Prize in Chemistry,1972,"['Christian B. Anfinsen', 'Stanford Moore', 'William H. Stein']",3,"“for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation”"
The Nobel Prize in Physiology or Medicine,1972,"['Gerald M. Edelman', 'Rodney R. Porter']",2,“for their discoveries concerning the chemical structure of antibodies”
The Nobel Prize in Literature,1972,['Heinrich Böll'],1,“for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature”
The Nobel Peace Prize,1972,[],0,No Nobel Prize was awarded this year. The prize money for 1972 was allocated to the Main Fund.
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1972,"['John R. Hicks', 'Kenneth J. Arrow']",2,“for their pioneering contributions to general economic equilibrium theory and welfare theory”
The Nobel Prize in Physics,1971,['Dennis Gabor'],1,“for his invention and development of the holographic method”
The Nobel Prize in Chemistry,1971,['Gerhard Herzberg'],1,"“for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals”"
The Nobel Prize in Physiology or Medicine,1971,"['Earl W. Sutherland, Jr.']",1,“for his discoveries concerning the mechanisms of the action of hormones”
The Nobel Prize in Literature,1971,['Pablo Neruda'],1,“for a poetry that with the action of an elemental force brings alive a continent’s destiny and dreams”
The Nobel Peace Prize,1971,['Willy Brandt'],1,
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1971,['Simon Kuznets'],1,“for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development”
The Nobel Prize in Physics,1970,"['Hannes Olof Gösta Alfvén', 'Louis Eugène Félix Néel']",2,“for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics”
The Nobel Prize in Chemistry,1970,['Luis F. Leloir'],1,“for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates”
The Nobel Prize in Physiology or Medicine,1970,"['Sir Bernard Katz', 'Ulf von Euler', 'Julius Axelrod']",3,"“for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation”"
The Nobel Prize in Literature,1970,['Aleksandr Isayevich Solzhenitsyn'],1,“for the ethical force with which he has pursued the indispensable traditions of Russian literature”
The Nobel Peace Prize,1970,['Norman E. Borlaug'],1,
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1970,['Paul A. Samuelson'],1,“for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science”
The Nobel Prize in Physics,1969,['Murray Gell-Mann'],1,“for his contributions and discoveries concerning the classification of elementary particles and their interactions”
The Nobel Prize in Chemistry,1969,"['Derek H. R. Barton', 'Odd Hassel']",2,“for their contributions to the development of the concept of conformation and its application in chemistry”
The Nobel Prize in Physiology or Medicine,1969,"['Max Delbrück', 'Alfred D. Hershey', 'Salvador E. Luria']",3,“for their discoveries concerning the replication mechanism and the genetic structure of viruses”
The Nobel Prize in Literature,1969,['Samuel Beckett'],1,"“for his writing, which – in new forms for the novel and drama – in the destitution of modern man acquires its elevation”"
The Nobel Peace Prize,1969,['International Labour Organization (I.L.O.) '],1,
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1969,"['Ragnar Frisch', 'Jan Tinbergen']",2,“for having developed and applied dynamic models for the analysis of economic processes”
The Nobel Prize in Physics,1968,['Luis Walter Alvarez'],1,"“for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis”"
The Nobel Prize in Chemistry,1968,['Lars Onsager'],1,"“for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes”"
The Nobel Prize in Physiology or Medicine,1968,"['Robert W. Holley', 'Har Gobind Khorana', 'Marshall W. Nirenberg']",3,“for their interpretation of the genetic code and its function in protein synthesis”
The Nobel Prize in Literature,1968,['Yasunari Kawabata'],1,"“for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind”"
The Nobel Peace Prize,1968,['René Cassin'],1,
The Nobel Prize in Physics,1967,['Hans Albrecht Bethe'],1,"“for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars”"
The Nobel Prize in Chemistry,1967,"['Manfred Eigen', 'Ronald George Wreyford Norrish', 'George Porter']",3,"“for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy”"
The Nobel Prize in Physiology or Medicine,1967,"['Ragnar Granit', 'Haldan Keffer Hartline', 'George Wald']",3,“for their discoveries concerning the primary physiological and chemical visual processes in the eye”
The Nobel Prize in Literature,1967,['Miguel Angel Asturias'],1,"“for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America”"
The Nobel Peace Prize,1967,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
The Nobel Prize in Physics,1966,['Alfred Kastler'],1,“for the discovery and development of optical methods for studying Hertzian resonances in atoms”
The Nobel Prize in Chemistry,1966,['Robert S. Mulliken'],1,“for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method”
The Nobel Prize in Physiology or Medicine,1966,"['Peyton Rous', 'Charles Brenton Huggins']",2,“for his discovery of tumour-inducing viruses”
The Nobel Prize in Literature,1966,"['Shmuel Yosef Agnon', 'Nelly Sachs']",2,“for his profoundly characteristic narrative art with motifs from the life of the Jewish people”
The Nobel Peace Prize,1966,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
The Nobel Prize in Physics,1965,"['Sin-Itiro Tomonaga', 'Julian Schwinger', 'Richard P. Feynman']",3,"“for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles”"
The Nobel Prize in Chemistry,1965,['Robert Burns Woodward'],1,“for his outstanding achievements in the art of organic synthesis”
The Nobel Prize in Physiology or Medicine,1965,"['François Jacob', 'André Lwoff', 'Jacques Monod']",3,“for their discoveries concerning genetic control of enzyme and virus synthesis”
The Nobel Prize in Literature,1965,['Mikhail Aleksandrovich Sholokhov'],1,"“for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people”"
The Nobel Peace Prize,1965,['United Nations Children’s Fund (UNICEF) '],1,
The Nobel Prize in Physics,1964,"['Charles Hard Townes', 'Nicolay Gennadiyevich Basov', 'Aleksandr Mikhailovich Prokhorov']",3,"“for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle”"
The Nobel Prize in Chemistry,1964,['Dorothy Crowfoot Hodgkin'],1,“for her determinations by X-ray techniques of the structures of important biochemical substances”
The Nobel Prize in Physiology or Medicine,1964,"['Konrad Bloch', 'Feodor Lynen']",2,“for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism”
The Nobel Prize in Literature,1964,['Jean-Paul Sartre'],1,"“for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age”"
The Nobel Peace Prize,1964,['Martin Luther King Jr.'],1,
The Nobel Prize in Physics,1963,"['Eugene Paul Wigner', 'Maria Goeppert Mayer', 'J. Hans D. Jensen']",3,"“for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles”"
The Nobel Prize in Chemistry,1963,"['Karl Ziegler', 'Giulio Natta']",2,“for their discoveries in the field of the chemistry and technology of high polymers”
The Nobel Prize in Physiology or Medicine,1963,"['Sir John Carew Eccles', 'Alan Lloyd Hodgkin', 'Andrew Fielding Huxley']",3,“for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane”
The Nobel Prize in Literature,1963,['Giorgos Seferis'],1,"“for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture”"
The Nobel Peace Prize,1963,"['Comité international de la Croix Rouge (International Committee of the Red Cross) ', 'Ligue des Sociétés de la Croix-Rouge (League of Red Cross Societies) ']",2,
The Nobel Prize in Physics,1962,['Lev Davidovich Landau'],1,"“for his pioneering theories for condensed matter, especially liquid helium”"
The Nobel Prize in Chemistry,1962,"['Max Ferdinand Perutz', 'John Cowdery Kendrew']",2,“for their studies of the structures of globular proteins”
The Nobel Prize in Physiology or Medicine,1962,"['Francis Harry Compton Crick', 'James Dewey Watson', 'Maurice Hugh Frederick Wilkins']",3,“for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material”
The Nobel Prize in Literature,1962,['John Steinbeck'],1,"“for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception”"
The Nobel Peace Prize,1962,['Linus Carl Pauling'],1,
The Nobel Prize in Physics,1961,"['Robert Hofstadter', 'Rudolf Ludwig Mössbauer']",2,“for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons”
The Nobel Prize in Chemistry,1961,['Melvin Calvin'],1,“for his research on the carbon dioxide assimilation in plants”
The Nobel Prize in Physiology or Medicine,1961,['Georg von Békésy'],1,“for his discoveries of the physical mechanism of stimulation within the cochlea”
The Nobel Prize in Literature,1961,['Ivo Andric'],1,“for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country”
The Nobel Peace Prize,1961,['Dag Hjalmar Agne Carl Hammarskjöld'],1,
The Nobel Prize in Physics,1960,['Donald Arthur Glaser'],1,“for the invention of the bubble chamber”
The Nobel Prize in Chemistry,1960,['Willard Frank Libby'],1,"“for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science”"
The Nobel Prize in Physiology or Medicine,1960,"['Sir Frank Macfarlane Burnet', 'Peter Brian Medawar']",2,“for discovery of acquired immunological tolerance”
The Nobel Prize in Literature,1960,['Saint-John Perse'],1,“for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time”
The Nobel Peace Prize,1960,['Albert John Lutuli'],1,
The Nobel Prize in Physics,1959,"['Emilio Gino Segrè', 'Owen Chamberlain']",2,“for their discovery of the antiproton”
The Nobel Prize in Chemistry,1959,['Jaroslav Heyrovsky'],1,“for his discovery and development of the polarographic methods of analysis”
The Nobel Prize in Physiology or Medicine,1959,"['Severo Ochoa', 'Arthur Kornberg']",2,“for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid”
The Nobel Prize in Literature,1959,['Salvatore Quasimodo'],1,"“for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times”"
The Nobel Peace Prize,1959,['Philip J. Noel-Baker'],1,
The Nobel Prize in Physics,1958,"['Pavel Alekseyevich Cherenkov', 'Il´ja Mikhailovich Frank', 'Igor Yevgenyevich Tamm']",3,“for the discovery and the interpretation of the Cherenkov effect”
The Nobel Prize in Chemistry,1958,['Frederick Sanger'],1,"“for his work on the structure of proteins, especially that of insulin”"
The Nobel Prize in Physiology or Medicine,1958,"['George Wells Beadle', 'Edward Lawrie Tatum', 'Joshua Lederberg']",3,“for their discovery that genes act by regulating definite chemical events”
The Nobel Prize in Literature,1958,['Boris Leonidovich Pasternak'],1,“for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition”
The Nobel Peace Prize,1958,['Georges Pire'],1,
The Nobel Prize in Physics,1957,"['Chen Ning Yang', 'Tsung-Dao (T.D.) Lee']",2,“for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles”
The Nobel Prize in Chemistry,1957,['Lord (Alexander R.) Todd'],1,“for his work on nucleotides and nucleotide co-enzymes”
The Nobel Prize in Physiology or Medicine,1957,['Daniel Bovet'],1,"“for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles”"
The Nobel Prize in Literature,1957,['Albert Camus'],1,"“for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times”"
The Nobel Peace Prize,1957,['Lester Bowles Pearson'],1,
The Nobel Prize in Physics,1956,"['William Bradford Shockley', 'John Bardeen', 'Walter Houser Brattain']",3,“for their researches on semiconductors and their discovery of the transistor effect”
The Nobel Prize in Chemistry,1956,"['Sir Cyril Norman Hinshelwood', 'Nikolay Nikolaevich Semenov']",2,“for their researches into the mechanism of chemical reactions”
The Nobel Prize in Physiology or Medicine,1956,"['André Frédéric Cournand', 'Werner Forssmann', 'Dickinson W. Richards']",3,“for their discoveries concerning heart catheterization and pathological changes in the circulatory system”
The Nobel Prize in Literature,1956,['Juan Ramón Jiménez'],1,"“for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity”"
The Nobel Peace Prize,1956,[],0,No Nobel Prize was awarded this year. The prize money was with 1/3 allocated to the Main Fund and with 2/3 to the Special Fund of this prize section.
The Nobel Prize in Physics,1955,"['Willis Eugene Lamb', 'Polykarp Kusch']",2,“for his discoveries concerning the fine structure of the hydrogen spectrum”
The Nobel Prize in Chemistry,1955,['Vincent du Vigneaud'],1,"“for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone”"
The Nobel Prize in Physiology or Medicine,1955,['Axel Hugo Theodor Theorell'],1,“for his discoveries concerning the nature and mode of action of oxidation enzymes”
The Nobel Prize in Literature,1955,['Halldór Kiljan Laxness'],1,“for his vivid epic power which has renewed the great narrative art of Iceland”
The Nobel Peace Prize,1955,[],0,No Nobel Prize was awarded this year. The prize money was allocated to the Special Fund of this prize section.
The Nobel Prize in Physics,1954,"['Max Born', 'Walther Bothe']",2,"“for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction”"
The Nobel Prize in Chemistry,1954,['Linus Carl Pauling'],1,“for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances”
The Nobel Prize in Physiology or Medicine,1954,"['John Franklin Enders', 'Thomas Huckle Weller', 'Frederick Chapman Robbins']",3,“for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue”
The Nobel Prize in Literature,1954,['Ernest Miller Hemingway'],1,"“for his mastery of the art of narrative, most recently demonstrated in The Old Man and the Sea, and for the influence that he has exerted on contemporary style”"
The Nobel Peace Prize,1954,['Office of the United Nations High Commissioner for Refugees (UNHCR) '],1,
The Nobel Prize in Physics,1953,['Frits Zernike'],1,"“for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope”"
The Nobel Prize in Chemistry,1953,['Hermann Staudinger'],1,“for his discoveries in the field of macromolecular chemistry”
